config,n_seeds,recall20_mean,recall20_std,ndcg20_mean,ndcg20_std
lightgcl_s0,3,0.10051546682413663,0.0008163506339327768,0.0865806815901693,0.0007165574977584047
s1_band005_015,1,0.0991573901105984,,0.0857779187815738,
s1_band002_010,2,0.0999869435797584,0.0008650464606631042,0.0857987791438546,0.0007173642686325507
s1_band010_020,1,0.099026233460322,,0.0853448596470891,
s2_a0.3,3,0.10193257590971667,0.0006705351994495402,0.08787515713085753,0.0005011922792046965
s2_a0.5,1,0.101106523702531,,0.087438744478393,
s3_a1.0_tw10,3,0.10153270836470586,0.0005664572389512168,0.08748711079508613,0.00031651420787096306
s3_a1.5_tw10,1,0.1008843262935617,,0.0868787055665957,
s3_a1.0_tw5,1,0.1007273211161086,,0.0869362156873419,
