config,bucket,n_seeds,recall20_mean,recall20_std,ndcg20_mean,ndcg20_std
lightgcl_s0,head,2,0.09440462071091615,0.0009540289902112885,0.10983717686806552,0.0010787113219742957
lightgcl_s0,mid,2,0.10833766243540768,0.0009882917296458978,0.08297621064308613,0.0006362724481504984
lightgcl_s0,overall,2,0.10065502655440048,0.001075748794288622,0.08669991630507547,0.0009832819298497039
lightgcl_s0,tail,2,0.09890040759860783,0.0012817309534402025,0.06815829233865149,0.0012427719607995293
s2_a0.3,head,2,0.09514996854146952,0.00010067730464774782,0.11131535335232431,0.0006639410312100924
s2_a0.3,mid,2,0.1094904004460378,0.00047368020766504437,0.08416050130905153,0.0008882759665318302
s2_a0.3,overall,2,0.10224440643619429,0.00022422285679810853,0.08804081961144739,0.0005839900518873979
s2_a0.3,tail,2,0.10174609998793302,9.066923733434853e-05,0.0695254579208528,0.00019864101965771878
s3_a1.0_tw10,head,2,0.09487494865827449,0.0007434205194955914,0.11095913461833382,0.0010072969124419926
s3_a1.0_tw10,mid,2,0.10889102671477635,0.0003041971987975593,0.0836463040135915,0.00047294779598333397
s3_a1.0_tw10,overall,2,0.10174174668651384,0.0002719377752593548,0.08759710961142286,0.00033964141218201943
s3_a1.0_tw10,tail,2,0.10112187440340797,0.00021544303507611064,0.06906877473042963,0.0004392912454140887
